# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​)
125.182,-5.492,5.492,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.354,NaN,NaN
125.682,-5.453,5.454,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.755,NaN,NaN
125.945,-5.482,5.486,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.14,NaN,NaN
126.4,-5.495,5.495,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.291,NaN,NaN
126.9,-5.485,5.485,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.412,NaN,NaN
127.133,-5.436,5.478,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.486,NaN,NaN
127.218,-5.451,5.458,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.978,NaN,NaN
127.718,-5.511,5.511,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.086,NaN,NaN
128.002,-5.466,5.476,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.967,NaN,NaN
128.286,-5.486,5.487,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.184,NaN,NaN
128.786,-5.485,5.485,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.373,NaN,NaN
128.92,-5.481,5.492,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.546,NaN,NaN
